DexN°=001; MOLLUCOTTA; BaseStats=55,40,70,35,55,55; Types=GRASS
DexN°=002; EXPURSUM; BaseStats=80,50,90,45,75,70; Types=GRASS
DexN°=003; GASTRONAUT; BaseStats=100,65,130,50,105,85; Types=GRASS,GROUND
DexN°=004; QUETZALIL; BaseStats=40,60,45,55,60,50; Types=FIRE
DexN°=005; QUEXCELL; BaseStats=60,70,55,80,85,60; Types=FIRE
DexN°=006; QUETZILLIAN; BaseStats=80,100,70,100,105,80; Types=FIRE,DRAGON
DexN°=007; PORSITE; BaseStats=60,50,40,55,50,55; Types=WATER
DexN°=008; CETTOEKKO; BaseStats=70,70,55,75,70,70; Types=WATER,PSYCHIC
DexN°=009; BATHYGIGAS; BaseStats=130,86,74,54,86,105; Types=WATER,PSYCHIC
DexN°=010; PACUNA; BaseStats=30,35,35,60,35,55; Types=NORMAL
DexN°=011; LAGUNA; BaseStats=50,60,50,80,70,110; Types=NORMAL,FAIRY
DexN°=012; WRENNER; BaseStats=30,45,35,80,35,35; Types=NORMAL,FLYING
DexN°=013; AVEOR; BaseStats=45,65,40,110,60,45; Types=ELECTRIC,FLYING
DexN°=014; ROADRAPTOR; BaseStats=70,94,52,130,72,69; Types=ELECTRIC,FLYING
DexN°=015; MINIMELO; BaseStats=40,30,40,25,30,35; Types=BUG
DexN°=016; CHICATTA; BaseStats=45,75,45,65,45,45; Types=BUG
DexN°=017; NOCTAVISPA; BaseStats=65,93,58,87,70,58; Types=BUG,DARK
DexN°=018; FLABEBE; BaseStats=44,38,39,42,61,79; Types=FAIRY
DexN°=019; FLOETTE; BaseStats=54,45,47,52,75,98; Types=FAIRY
DexN°=020; FLORGES; BaseStats=78,65,68,75,112,154; Types=FAIRY
DexN°=021; LEDYBA; BaseStats=40,40,30,55,20,80; Types=BUG,FLYING
DexN°=022; LEDIAN; BaseStats=55,50,55,85,35,110; Types=BUG,FLYING
DexN°=023; LEDORADO; BaseStats=67,107,77,87,37,117; Types=BUG,FIGHTING
DexN°=024; TECHUPPI; BaseStats=50,60,45,35,40,45; Types=DARK
DexN°=025; LUPACABRA; BaseStats=80,105,85,55,95,70; Types=DARK,FIGHTING
DexN°=026; ZOLUPINE; BaseStats=60,85,60,85,95,105; Types=DARK,WATER
DexN°=027; BUDEW; BaseStats=40,30,35,55,50,70; Types=GRASS,POISON
DexN°=028; M_ROSELIA; BaseStats=50,45,50,70,80,105; Types=GRASS,GHOST
DexN°=029; M_ROSERADE; BaseStats=70,65,60,90,105,125; Types=GRASS,GHOST
DexN°=030; M_EKANS; BaseStats=33,60,42,55,56,42; Types=POISON,DARK
DexN°=031; ELTTAR; BaseStats=44,101,64,85,90,64; Types=POISON,DARK
DexN°=032; CAFECARACHA; BaseStats=50,40,60,75,40,40; Types=BUG,ELECTRIC
DexN°=033; FLITJITTER; BaseStats=66,85,65,110,84,65; Types=BUG,ELECTRIC
DexN°=034; LOTAD; BaseStats=40,30,30,30,40,50; Types=WATER,GRASS
DexN°=035; LOMBRE; BaseStats=60,50,50,50,60,70; Types=WATER,GRASS
DexN°=036; LUDICOLO; BaseStats=80,70,70,70,90,100; Types=WATER,GRASS
DexN°=037; ZEAZAYA; BaseStats=40,35,35,45,50,45; Types=GRASS
DexN°=038; ZHUSK; BaseStats=65,75,50,50,70,60; Types=GRASS
DexN°=039; MAYZMEN; BaseStats=100,90,80,57,83,80; Types=GRASS
DexN°=040; BLAZEA; BaseStats=65,92,70,73,125,65; Types=DARK,FIRE
DexN°=041; PHANTUMP; BaseStats=43,70,48,38,50,60; Types=GHOST,GRASS
DexN°=042; TREVENANT; BaseStats=85,120,82,56,65,82; Types=GHOST,GRASS
DexN°=043; LILORINA; BaseStats=50,30,45,43,62,60; Types=GHOST,WATER
DexN°=044; YAQUENA; BaseStats=65,44,52,46,90,93; Types=GHOST,WATER
DexN°=045; YORONAQUA; BaseStats=70,70,70,55,115,110; Types=GHOST,WATER
DexN°=046; MURKROW; BaseStats=60,85,42,91,85,42; Types=DARK,FLYING
DexN°=047; HONCHKROW; BaseStats=100,125,52,71,105,52; Types=DARK,FLYING
DexN°=048; LITWICK; BaseStats=50,30,55,20,65,55; Types=GHOST,FIRE
DexN°=049; LAMPENT; BaseStats=60,40,60,55,95,65; Types=GHOST,FIRE
DexN°=050; CHANDELURE; BaseStats=60,60,80,80,140,80; Types=GHOST,FIRE
DexN°=051; CHINGLING; BaseStats=45,30,50,45,65,50; Types=PSYCHIC
DexN°=052; CHIMECHO; BaseStats=75,50,80,65,95,90; Types=PSYCHIC
DexN°=053; SHUPPET; BaseStats=54,75,47,45,73,46; Types=GHOST,NORMAL
DexN°=054; BANETTE; BaseStats=74,115,75,65,83,73; Types=GHOST,NORMAL
DexN°=055; SKIDDO; BaseStats=66,65,48,62,52,57; Types=GRASS
DexN°=056; GOGOAT; BaseStats=123,100,62,68,97,81; Types=GRASS,ROCK
DexN°=057; SCATTERBUG; BaseStats=38,35,40,35,27,25; Types=BUG
DexN°=058; SPEWPA; BaseStats=45,22,60,29,27,30; Types=BUG
DexN°=059; VIVILLON; BaseStats=80,62,50,89,80,50; Types=BUG,FLYING
DexN°=060; TRUBBISH; BaseStats=50,50,62,65,40,62; Types=POISON
DexN°=061; GARBODOR; BaseStats=80,110,82,69,60,82; Types=POISON
DexN°=062; PORYGON; BaseStats=65,60,70,40,85,75; Types=NORMAL
DexN°=063; PORYGON2; BaseStats=85,80,90,60,105,95; Types=NORMAL
DexN°=064; PORYGONZ; BaseStats=85,80,70,90,135,75; Types=NORMAL
DexN°=065; FALINKS; BaseStats=65,100,100,70,70,65; Types=FIGHTING
DexN°=066; ELGYEM; BaseStats=55,55,55,30,85,55; Types=PSYCHIC
DexN°=067; BEHEEYEM; BaseStats=75,75,75,40,125,95; Types=PSYCHIC
DexN°=068; FURFROU; BaseStats=77,90,63,102,65,95; Types=NORMAL
DexN°=069; MINGOT; BaseStats=40,50,55,67,28,35; Types=NORMAL
DexN°=070; RUSTACHE; BaseStats=70,92,70,102,53,53; Types=NORMAL,STEEL
DexN°=071; M_BURMY; BaseStats=40,29,45,29,45,36; Types=BUG,NORMAL
DexN°=072; PAPELLAUDE; BaseStats=69,69,53,99,99,69; Types=BUG,NORMAL
DexN°=073; WORMOTE; BaseStats=43,26,26,43,46,31; Types=BUG,PSYCHIC
DexN°=074; STRELAVISON; BaseStats=69,34,49,82,69,69; Types=BUG,PSYCHIC
DexN°=075; CROMEN; BaseStats=48,36,45,57,44,55; Types=PSYCHIC,FLYING
DexN°=076; CORVOYANT; BaseStats=55,58,55,61,74,82; Types=PSYCHIC,FLYING
DexN°=077; CAWMADAME; BaseStats=80,71,65,72,95,102; Types=PSYCHIC,FLYING
DexN°=078; EEVEE; BaseStats=55,55,50,55,45,65; Types=NORMAL
