DexN°=001; MOLLUCOTTA; BaseStats=55,40,70,35,55,55; Types=GRASS
DexN°=002; EXPURSUM; BaseStats=80,50,90,45,75,70; Types=GRASS
DexN°=003; GASTRONAUT; BaseStats=100,65,130,50,105,85; Types=GRASS,GROUND
DexN°=004; QUETZALIL; BaseStats=40,60,45,55,60,50; Types=FIRE
DexN°=005; QUEXCELL; BaseStats=60,70,50,90,85,55; Types=FIRE
DexN°=006; QUETZILLIAN; BaseStats=90,95,60,100,125,65; Types=FIRE,DRAGON
DexN°=007; PORSITE; BaseStats=60,50,40,55,50,55; Types=WATER
DexN°=008; CETTOEKKO; BaseStats=70,70,55,75,70,70; Types=WATER,PSYCHIC
DexN°=009; BATHYGIGAS; BaseStats=130,86,74,54,86,105; Types=WATER,PSYCHIC
DexN°=010; PACUNA; BaseStats=30,40,35,60,40,55; Types=NORMAL
DexN°=011; LAGUNA; BaseStats=50,60,50,80,75,110; Types=NORMAL,FAIRY
DexN°=012; WRENNER; BaseStats=30,45,30,90,30,35; Types=NORMAL,FLYING
DexN°=013; AVEOR; BaseStats=45,65,40,110,60,45; Types=ELECTRIC,FLYING
DexN°=014; ROADRAPTOR; BaseStats=70,94,52,133,72,69; Types=ELECTRIC,FLYING
DexN°=015; MINIMELO; BaseStats=40,30,40,25,30,35; Types=BUG
DexN°=016; CHICATTA; BaseStats=45,85,45,65,35,45; Types=BUG
DexN°=017; NOCTAVISPA; BaseStats=65,93,69,87,87,59; Types=BUG,DARK
DexN°=018; FLABEBE; BaseStats=44,38,39,42,61,79; Types=FAIRY
DexN°=019; FLOETTE; BaseStats=54,45,47,52,75,98; Types=FAIRY
DexN°=020; FLORGES; BaseStats=78,65,68,75,112,154; Types=FAIRY
DexN°=021; LEDYBA; BaseStats=40,40,30,55,20,80; Types=BUG,FLYING
DexN°=022; LEDIAN; BaseStats=55,80,50,85,45,100; Types=BUG,FIGHTING
DexN°=023; SUNKERN; BaseStats=30,30,30,30,30,30; Types=GRASS
DexN°=024; SUNFLORA; BaseStats=75,55,55,55,125,85; Types=GRASS,FIRE
DexN°=025; TECHUPPI; BaseStats=45,60,45,35,40,45; Types=DARK
DexN°=026; LUPACABRA; BaseStats=80,105,95,70,55,85; Types=DARK
DexN°=027; ZOLUPINE; BaseStats=60,85,60,105,105,95; Types=DARK,WATER
DexN°=028; BUDEW; BaseStats=40,30,35,55,50,70; Types=GRASS,POISON
DexN°=029; M_ROSELIA; BaseStats=50,45,50,70,80,105; Types=GRASS,GHOST
DexN°=030; M_ROSERADE; BaseStats=70,50,70,90,105,135; Types=GRASS,GHOST
DexN°=031; EKANS; BaseStats=35,60,44,55,40,54; Types=POISON
DexN°=032; ARBOK; BaseStats=75,95,69,80,66,84; Types=POISON,DARK
DexN°=033; HOOTHOOT; BaseStats=60,30,30,50,36,56; Types=NORMAL,FLYING
DexN°=034; NOCTOWL; BaseStats=110,50,70,70,86,96; Types=NORMAL,FLYING
DexN°=035; CAFECARACHA; BaseStats=50,40,60,75,55,40; Types=BUG,ELECTRIC
DexN°=036; FLITJITTER; BaseStats=62,65,65,130,88,65; Types=BUG,ELECTRIC
DexN°=037; LOTAD; BaseStats=40,30,30,30,40,50; Types=WATER,GRASS
DexN°=038; LOMBRE; BaseStats=60,50,50,50,60,70; Types=WATER,GRASS
DexN°=039; LUDICOLO; BaseStats=80,70,70,70,90,100; Types=WATER,GRASS
DexN°=040; BARBOACH; BaseStats=50,48,43,60,46,41; Types=WATER,GROUND
DexN°=041; WHISCASH; BaseStats=110,98,73,80,76,71; Types=WATER,GROUND
DexN°=042; ZEAZAYA; BaseStats=40,45,45,45,60,45; Types=GRASS
DexN°=043; ZHUSK; BaseStats=75,55,70,50,75,70; Types=GRASS
DexN°=044; MAYZMEN; BaseStats=100,90,80,55,95,80; Types=GRASS
DexN°=045; BLAZEA; BaseStats=70,82,70,80,125,73; Types=DARK,FIRE
DexN°=046; PUMPKABOO; BaseStats=44,44,70,56,66,55; Types=GHOST,GRASS
DexN°=047; GOURGEIST; BaseStats=55,58,122,99,85,75; Types=GHOST,GRASS
DexN°=048; PURRLOIN; BaseStats=41,50,37,66,50,37; Types=DARK
DexN°=049; LIEPARD; BaseStats=64,88,50,106,88,50; Types=DARK
DexN°=050; DRILBUR; BaseStats=60,85,40,68,30,45; Types=GROUND
DexN°=051; EXCADRILL; BaseStats=110,135,60,88,50,65; Types=GROUND,STEEL
DexN°=052; PHANTUMP; BaseStats=43,70,48,38,50,60; Types=GHOST,GRASS
DexN°=053; TREVENANT; BaseStats=85,120,82,56,65,82; Types=GHOST,GRASS
DexN°=054; LILORINA; BaseStats=50,30,45,40,65,55; Types=GHOST,WATER
DexN°=055; YAQUENA; BaseStats=65,45,65,45,95,95; Types=GHOST,WATER
DexN°=056; YORONAQUA; BaseStats=85,55,80,55,115,110; Types=GHOST,WATER
DexN°=057; DUSKULL; BaseStats=20,40,90,25,30,90; Types=GHOST
DexN°=058; DUSCLOPS; BaseStats=40,70,130,25,60,130; Types=GHOST
DexN°=059; DUSKNOIR; BaseStats=65,125,125,45,50,125; Types=GHOST
DexN°=060; VULPIX; BaseStats=38,41,40,65,50,65; Types=FIRE
DexN°=061; NINETALES; BaseStats=73,76,75,109,95,100; Types=FIRE
DexN°=062; MURKROW; BaseStats=60,85,42,91,85,42; Types=DARK,FLYING
DexN°=063; HONCHKROW; BaseStats=100,125,52,71,105,52; Types=DARK,FLYING
DexN°=064; LITWICK; BaseStats=50,30,55,20,65,55; Types=GHOST,FIRE
DexN°=065; LAMPENT; BaseStats=60,40,60,55,95,60; Types=GHOST,FIRE
DexN°=066; CHANDELURE; BaseStats=60,55,90,80,145,90; Types=GHOST,FIRE
DexN°=067; SKIDDO; BaseStats=66,65,48,62,52,57; Types=GRASS
DexN°=068; GOGOAT; BaseStats=123,100,72,88,63,81; Types=GRASS
DexN°=069; BUNNELBY; BaseStats=38,36,38,57,32,36; Types=NORMAL
DexN°=070; DIGGERSBY; BaseStats=85,56,77,78,50,77; Types=NORMAL,GROUND
DexN°=071; SCATTERBUG; BaseStats=38,35,40,35,27,25; Types=BUG
DexN°=072; SPEWPA; BaseStats=45,22,60,29,27,30; Types=BUG
DexN°=073; VIVILLON; BaseStats=80,52,50,89,90,50; Types=BUG,FLYING
DexN°=074; SPOINK; BaseStats=60,25,35,60,70,80; Types=PSYCHIC
DexN°=075; GRUMPIG; BaseStats=90,45,65,92,100,110; Types=PSYCHIC,DARK
DexN°=076; FEEBAS; BaseStats=20,15,20,80,10,55; Types=WATER
DexN°=077; MILOTIC; BaseStats=95,60,79,81,100,125; Types=WATER
DexN°=078; TRUBBISH; BaseStats=50,50,62,65,40,62; Types=POISON
DexN°=079; GARBODOR; BaseStats=80,110,82,69,60,82; Types=POISON
